subjectNo,melody,score,gf,wmc,GENERAL,MUSICAL,SINGING,gender,baisScore,auralWeeksTaken,Tonalness,NoteDensity
1028,melody9p,0.25,0.677961642564331,0.928025562798695,95,38,42,Male,6.571,58,LOW,LOW
1028,melody112p,0.547619047619048,0.677961642564331,0.928025562798695,95,38,42,Male,6.571,58,HIGH,HIGH
1029,melody95p,0.710227272727273,-1.86739590222246,-1.50133661090575,90,37,32,Male,5.214,33,LOW,HIGH
1029,melody34p,0.1375,-1.86739590222246,-1.50133661090575,90,37,32,Male,5.214,33,HIGH,LOW
1029,melody9p,0.166666666666667,-1.86739590222246,-1.50133661090575,90,37,32,Male,5.214,33,LOW,LOW
1029,melody112p,0.577380952380952,-1.86739590222246,-1.50133661090575,90,37,32,Male,5.214,33,HIGH,HIGH
1030,melody95p,0.147727272727273,1.63834095598137,0.244060899265779,115,39,41,Male,5.643,30,LOW,HIGH
1030,melody34p,0,1.63834095598137,0.244060899265779,115,39,41,Male,5.643,30,HIGH,LOW
1030,melody9p,0,1.63834095598137,0.244060899265779,115,39,41,Male,5.643,30,LOW,LOW
1030,melody112p,0.25,1.63834095598137,0.244060899265779,115,39,41,Male,5.643,30,HIGH,HIGH
1031,melody95p,0.329545454545455,-0.894919414167562,-2.15518898231778,115,42,46,Female,,,LOW,HIGH
1031,melody34p,0,-0.894919414167562,-2.15518898231778,115,42,46,Female,,,HIGH,LOW
1031,melody9p,0,-0.894919414167562,-2.15518898231778,115,42,46,Female,,,LOW,LOW
1031,melody112p,0.202380952380952,-0.894919414167562,-2.15518898231778,115,42,46,Female,,,HIGH,HIGH
1032,melody95p,0.977272727272727,-2.17181048687303,,79,34,36,Male,5.929,60,LOW,HIGH
1032,melody95p,0.977272727272727,-2.17181048687303,,79,34,36,Male,5.929,60,LOW,HIGH
1032,melody34p,0.6875,-2.17181048687303,,79,34,36,Male,5.929,60,HIGH,LOW
1032,melody34p,0.6875,-2.17181048687303,,79,34,36,Male,5.929,60,HIGH,LOW
1032,melody9p,0.214285714285714,-2.17181048687303,,79,34,36,Male,5.929,60,LOW,LOW
1032,melody9p,0.214285714285714,-2.17181048687303,,79,34,36,Male,5.929,60,LOW,LOW
1032,melody112p,0.976190476190476,-2.17181048687303,,79,34,36,Male,5.929,60,HIGH,HIGH
1032,melody112p,0.976190476190476,-2.17181048687303,,79,34,36,Male,5.929,60,HIGH,HIGH
1032,melody95p,0.977272727272727,-2.17181048687303,,79,34,36,Male,2.929,60,LOW,HIGH
1032,melody95p,0.977272727272727,-2.17181048687303,,79,34,36,Male,2.929,60,LOW,HIGH
1032,melody34p,0.6875,-2.17181048687303,,79,34,36,Male,2.929,60,HIGH,LOW
1032,melody34p,0.6875,-2.17181048687303,,79,34,36,Male,2.929,60,HIGH,LOW
1032,melody9p,0.214285714285714,-2.17181048687303,,79,34,36,Male,2.929,60,LOW,LOW
1032,melody9p,0.214285714285714,-2.17181048687303,,79,34,36,Male,2.929,60,LOW,LOW
1032,melody112p,0.976190476190476,-2.17181048687303,,79,34,36,Male,2.929,60,HIGH,HIGH
1032,melody112p,0.976190476190476,-2.17181048687303,,79,34,36,Male,2.929,60,HIGH,HIGH
1033,melody95p,0.5,1.26143016674833,0.586043231032237,82,36,32,Male,4.929,30,LOW,HIGH
1033,melody34p,0.0375,1.26143016674833,0.586043231032237,82,36,32,Male,4.929,30,HIGH,LOW
1033,melody9p,0.19047619047619,1.26143016674833,0.586043231032237,82,36,32,Male,4.929,30,LOW,LOW
1033,melody112p,0.589285714285714,1.26143016674833,0.586043231032237,82,36,32,Male,4.929,30,HIGH,HIGH
1034,melody95p,0.840909090909091,-0.231500116509891,0.415052065149008,99,35,40,Female,6.357,45,LOW,HIGH
1034,melody34p,0.05,-0.231500116509891,0.415052065149008,99,35,40,Female,6.357,45,HIGH,LOW
1034,melody9p,0.142857142857143,-0.231500116509891,0.415052065149008,99,35,40,Female,6.357,45,LOW,LOW
1034,melody112p,0.708333333333333,-0.231500116509891,0.415052065149008,99,35,40,Female,6.357,45,HIGH,HIGH
1035,melody95p,0.732954545454545,-1.2416306884283,-0.0226407021984632,111,37,43,Male,4.071,60,LOW,HIGH
1035,melody34p,0.425,-1.2416306884283,-0.0226407021984632,111,37,43,Male,4.071,60,HIGH,LOW
1035,melody9p,0.0476190476190476,-1.2416306884283,-0.0226407021984632,111,37,43,Male,4.071,60,LOW,LOW
1035,melody112p,0.541666666666667,-1.2416306884283,-0.0226407021984632,111,37,43,Male,4.071,60,HIGH,HIGH
1036,melody95p,0.505681818181818,-0.987937394012036,0.274173191386665,113,41,44,Female,6.143,60,LOW,HIGH
1036,melody34p,0,-0.987937394012036,0.274173191386665,113,41,44,Female,6.143,60,HIGH,LOW
1036,melody9p,0.428571428571429,-0.987937394012036,0.274173191386665,113,41,44,Female,6.143,60,LOW,LOW
1036,melody112p,0.446428571428571,-0.987937394012036,0.274173191386665,113,41,44,Female,6.143,60,HIGH,HIGH
1037,melody95p,0.443181818181818,1.02465120601389,1.27000789456515,108,41,35,Male,6.143,30,LOW,HIGH
1037,melody34p,0.4,1.02465120601389,1.27000789456515,108,41,35,Male,6.143,30,HIGH,LOW
1037,melody9p,0.166666666666667,1.02465120601389,1.27000789456515,108,41,35,Male,6.143,30,LOW,LOW
1037,melody112p,0.696428571428571,1.02465120601389,1.27000789456515,108,41,35,Male,6.143,30,HIGH,HIGH
1038,melody95p,0.772727272727273,1.76034873333435,-0.163519575960806,81,26,31,Female,4.571,30,LOW,HIGH
1038,melody34p,0.525,1.76034873333435,-0.163519575960806,81,26,31,Female,4.571,30,HIGH,LOW
1038,melody9p,0.0714285714285714,1.76034873333435,-0.163519575960806,81,26,31,Female,4.571,30,LOW,LOW
1038,melody112p,0.755952380952381,1.76034873333435,-0.163519575960806,81,26,31,Female,4.571,30,HIGH,HIGH
1039,melody95p,0.426136363636364,-0.990356828939607,0.460220503330338,122,44,49,Male,7,60,LOW,HIGH
1039,melody34p,0.15,-0.990356828939607,0.460220503330338,122,44,49,Male,7,60,HIGH,LOW
1039,melody9p,0,-0.990356828939607,0.460220503330338,122,44,49,Male,7,60,LOW,LOW
1039,melody112p,0.0238095238095238,-0.990356828939607,0.460220503330338,122,44,49,Male,7,60,HIGH,HIGH
1040,melody95p,0.613636363636364,-0.362172180217879,0.289229337447109,115,41,43,Male,6,45,LOW,HIGH
1040,melody34p,0.05,-0.362172180217879,0.289229337447109,115,41,43,Male,6,45,HIGH,LOW
1040,melody9p,0.0238095238095238,-0.362172180217879,0.289229337447109,115,41,43,Male,6,45,LOW,LOW
1040,melody112p,0.714285714285714,-0.362172180217879,0.289229337447109,115,41,43,Male,6,45,HIGH,HIGH
1041,melody95p,0.715909090909091,,,,,,,1,,LOW,HIGH
1041,melody34p,0,,,,,,,1,,HIGH,LOW
1041,melody9p,0,,,,,,,1,,LOW,LOW
1041,melody112p,0.5,,,,,,,1,,HIGH,HIGH
1042,melody95p,0.568181818181818,,,,,,,6.357,60,LOW,HIGH
1042,melody34p,0.025,,,,,,,6.357,60,HIGH,LOW
1042,melody9p,0,,,,,,,6.357,60,LOW,LOW
1042,melody112p,0.630952380952381,,,,,,,6.357,60,HIGH,HIGH
1043,melody95p,0.727272727272727,1.07539420705938,-1.03353155143739,110,42,40,Male,6,60,LOW,HIGH
1043,melody34p,0.05,1.07539420705938,-1.03353155143739,110,42,40,Male,6,60,HIGH,LOW
1043,melody9p,0,1.07539420705938,-1.03353155143739,110,42,40,Male,6,60,LOW,LOW
1043,melody112p,0.523809523809524,1.07539420705938,-1.03353155143739,110,42,40,Male,6,60,HIGH,HIGH
